order_month,region,sales_channel,revenue,gross_profit,gross_margin_pct,units_sold,total_orders,average_order_value,returned_orders,return_amount,return_rate_pct,discount_amount,gross_sales_before_discount,discount_rate_pct,revenue_target,profit_target,revenue_target_achievement_pct,profit_target_achievement_pct
2025-04-01,South,Marketplace,37409.24999999999,17484.709999999992,0.4673900171748965,164,104,359.70432692307685,10,4018.9100000000003,0.09615384615384616,3251.93,40661.17999999999,0.07997628204592194,251479.82,77653.35,0.1487564688093064,0.2251636278409108
2025-11-01,West,Physical Store,47469.909999999974,23077.390000000007,0.4861477512807591,177,92,515.9772826086954,11,6850.05,0.11956521739130435,3727.6800000000003,51197.589999999975,0.07280967717425765,462658.9,164573.51,0.10260239238886353,0.1402254226697845
2025-10-01,West,Marketplace,48279.91999999999,23077.929999999993,0.4780026561767293,189,100,482.7991999999999,9,3570.14,0.09,3860.75,52140.67000000001,0.07404488664990302,385831.83,86767.46,0.1251320296720983,0.265974479372797
2025-12-01,South,Website,42303.61999999998,20063.480000000003,0.4742733600576029,177,106,399.09075471698094,7,3137.45,0.0660377358490566,3538.9000000000005,45842.51999999998,0.07719689057233332,499946.74,150243.54,0.08461625332330396,0.13353971824678787
2025-06-01,Central,Website,45762.659999999996,22276.149999999994,0.48677568130873505,178,111,412.2762162162162,7,1578.1399999999999,0.06306306306306306,4188.32,49950.98000000002,0.0838486051725111,384507.22,116012.74,0.11901638674041023,0.1920146873524407
2025-03-01,Central,Website,41419.69000000001,20641.719999999998,0.4983552508480868,159,93,445.3730107526883,5,659.16,0.053763440860215055,2191.59,43611.28,0.05025282449861596,417098.22,129717.6,0.09930440364861785,0.15912813681412544
2025-03-01,South,Mobile App,49450.07,23482.719999999998,0.4748773864223043,184,108,457.8710185185185,7,2693.42,0.06481481481481481,4865.579999999999,54315.64999999999,0.08957970676959587,260261.58,72247.08,0.19000142087817956,0.32503348232205365
2025-08-01,East,Physical Store,48589.5,22773.040000000008,0.46868232848660735,214,120,404.9125,15,3956.1400000000003,0.125,2809.82,51399.32000000001,0.05466648196902216,433460.73,113072.83,0.1120966598289077,0.20140152147956328
2025-04-01,East,Mobile App,41255.82000000001,18686.340000000007,0.4529382763450103,189,107,385.56841121495336,10,3185.66,0.09345794392523364,2992.909999999999,44248.730000000025,0.06763832543894474,353620.38,120161.45,0.11666697490681958,0.15551027388567637
2025-07-01,South,Physical Store,44948.429999999986,20455.070000000007,0.45507863122249237,205,111,404.94081081081066,3,1823.29,0.02702702702702703,3529.3099999999995,48477.74,0.07280269253475924,298891.3,74700.45,0.15038386865057626,0.2738279354408174
2025-03-01,East,Marketplace,47044.509999999995,22283.06000000001,0.47365909433428066,193,112,420.0402678571428,8,3689.5,0.07142857142857142,4512.06,51556.56999999998,0.08751668313078241,256028.95,73083.91,0.1837468380040616,0.30489693285430414
2025-01-01,East,Website,48777.579999999994,23624.910000000003,0.48433952647917355,209,123,396.5656910569105,3,837.38,0.024390243902439025,3352.9799999999996,52130.56000000001,0.06431889471358065,248359.49,79092.46,0.19639909874190833,0.29869990135595736
